timestamp,location,pm1_0,pm2_5,pm10,cnt0_3,cnt0_5,cnt1_0,cnt2_5,cnt5_0,cnt10_0,mq135_adc,mq136_adc,mics_red_adc,mics_nox_adc,mp135_adc,temperature,humidity,aqi,aqi_category,is_hazard
2023-01-02T12:00,dhaka,53.2,91.7,133.6,4386,1277,322,69,16,3,2091,1222,2710,1709,1882,19.0,64.0,170,Unhealthy,1
2023-01-02T13:00,dhaka,58.3,100.6,146.2,4818,1413,351,75,18,4,2188,1260,2844,1768,1970,18.2,64.0,174,Unhealthy,1
2023-01-02T14:00,dhaka,62.4,107.6,156.0,5168,1503,375,80,19,4,2282,1279,2984,1823,2055,17.0,69.0,178,Unhealthy,1
2023-01-02T15:00,dhaka,64.4,111.1,160.7,5354,1559,388,83,19,4,2357,1308,3087,1850,2097,16.0,74.0,180,Unhealthy,1
2023-01-02T16:00,dhaka,64.1,110.6,160.2,5316,1556,386,83,19,4,2364,1302,3079,1831,2099,15.5,78.0,179,Unhealthy,1
2023-01-02T17:00,dhaka,61.6,106.2,153.7,5086,1486,372,80,19,4,2305,1301,2984,1793,2050,15.3,80.0,177,Unhealthy,1
2023-01-02T18:00,dhaka,57.1,98.5,142.5,4760,1374,343,73,17,3,2171,1243,2847,1716,1969,15.2,81.0,173,Unhealthy,1
2023-01-02T19:00,dhaka,52.8,91.0,131.3,4396,1278,317,67,16,3,2105,1202,2757,1667,1887,14.5,86.0,169,Unhealthy,1
2023-01-02T20:00,dhaka,48.5,83.6,120.6,3987,1177,292,63,15,3,1990,1172,2609,1601,1810,13.9,88.0,166,Unhealthy,1
2023-01-02T21:00,dhaka,45.5,78.5,112.9,3777,1093,274,58,14,3,1934,1155,2492,1543,1767,13.3,91.0,163,Unhealthy,1
2023-01-02T22:00,dhaka,43.6,75.2,108.3,3614,1049,265,56,13,3,1902,1134,2480,1546,1720,12.9,92.0,161,Unhealthy,1
2023-01-02T23:00,dhaka,43.7,75.4,108.5,3633,1058,265,56,13,3,1896,1141,2432,1516,1702,12.4,93.0,161,Unhealthy,1
2023-01-03T00:00,dhaka,50.2,86.6,124.3,4152,1215,305,64,15,3,2044,1180,2615,1607,1838,11.9,94.0,167,Unhealthy,1
2023-01-03T01:00,dhaka,49.8,85.9,123.4,4122,1192,300,63,15,3,2033,1186,2624,1601,1822,12.9,94.0,167,Unhealthy,1
2023-01-03T02:00,dhaka,47.3,81.5,116.9,3911,1145,283,61,14,3,1992,1152,2598,1574,1800,14.9,90.0,164,Unhealthy,1
2023-01-03T03:00,dhaka,44.3,76.4,109.9,3649,1079,267,57,13,3,1954,1131,2539,1555,1774,17.4,84.0,162,Unhealthy,1
2023-01-03T04:00,dhaka,38.7,66.8,96.4,3198,932,233,49,12,2,1835,1107,2430,1473,1689,19.6,76.0,157,Unhealthy,1
2023-01-03T05:00,dhaka,32.4,55.8,81.0,2683,796,196,41,10,2,1718,1046,2252,1380,1567,21.3,68.0,151,Unhealthy,1
2023-01-03T06:00,dhaka,28.1,48.4,70.5,2313,672,171,36,8,1,1630,1046,2120,1309,1518,22.4,62.0,133,Unhealthy for Sensitive Groups,1
2023-01-03T07:00,dhaka,24.6,42.4,61.9,2043,588,148,31,7,1,1553,1013,2061,1257,1456,23.1,56.0,118,Unhealthy for Sensitive Groups,1
2023-01-03T08:00,dhaka,22.8,39.3,57.5,1876,547,136,29,7,1,1535,979,1999,1243,1421,23.5,52.0,110,Unhealthy for Sensitive Groups,1
2023-01-03T09:00,dhaka,21.8,37.5,54.8,1786,522,132,28,6,1,1514,972,1992,1226,1419,23.5,50.0,106,Unhealthy for Sensitive Groups,1
2023-01-03T10:00,dhaka,21.0,36.2,52.9,1727,509,125,26,6,1,1514,968,1997,1257,1422,22.9,53.0,103,Unhealthy for Sensitive Groups,1
2023-01-03T11:00,dhaka,23.6,40.7,58.9,1928,569,140,30,7,1,1593,982,2073,1347,1460,20.2,68.0,114,Unhealthy for Sensitive Groups,1
2023-01-03T12:00,dhaka,35.3,60.8,87.5,2930,845,213,46,10,2,1760,1067,2331,1491,1632,17.8,76.0,154,Unhealthy,1
2023-01-03T13:00,dhaka,40.8,70.3,101.3,3365,984,245,53,12,2,1906,1120,2477,1558,1720,17.3,79.0,159,Unhealthy,1
2023-01-03T14:00,dhaka,45.8,78.9,113.6,3793,1102,276,60,14,3,2041,1158,2670,1629,1806,16.7,84.0,163,Unhealthy,1
2023-01-03T15:00,dhaka,48.9,84.3,121.1,4031,1170,294,63,15,3,2138,1191,2773,1682,1874,16.1,88.0,166,Unhealthy,1
2023-01-03T16:00,dhaka,46.9,80.8,115.9,3881,1135,280,61,14,3,2072,1168,2713,1656,1856,15.9,88.0,164,Unhealthy,1
2023-01-03T17:00,dhaka,40.4,69.6,99.9,3344,972,242,52,12,2,1916,1120,2508,1543,1742,15.7,89.0,158,Unhealthy,1
2023-01-03T18:00,dhaka,35.7,61.5,88.0,2967,858,214,45,11,2,1791,1081,2348,1445,1645,15.5,90.0,154,Unhealthy,1
2023-01-03T19:00,dhaka,32.2,55.6,79.9,2689,780,197,41,10,2,1712,1037,2264,1410,1579,15.1,91.0,151,Unhealthy,1
2023-01-03T20:00,dhaka,30.0,51.7,74.0,2485,718,184,38,9,2,1681,1038,2192,1372,1534,14.6,92.0,141,Unhealthy for Sensitive Groups,1
2023-01-03T21:00,dhaka,28.8,49.7,71.2,2392,705,175,37,8,1,1648,1014,2149,1349,1532,14.1,93.0,136,Unhealthy for Sensitive Groups,1
2023-01-03T22:00,dhaka,28.5,49.2,70.5,2336,696,171,36,8,1,1635,1005,2150,1342,1502,13.8,93.0,135,Unhealthy for Sensitive Groups,1
2023-01-03T23:00,dhaka,29.1,50.2,71.7,2390,701,178,37,9,2,1639,1020,2148,1321,1522,13.7,93.0,137,Unhealthy for Sensitive Groups,1
2023-01-04T00:00,dhaka,35.8,61.7,88.2,2958,867,218,46,11,2,1775,1058,2343,1435,1625,13.3,95.0,154,Unhealthy,1
2023-01-04T01:00,dhaka,35.3,60.8,86.8,2918,852,212,45,10,2,1771,1062,2305,1424,1623,13.3,95.0,154,Unhealthy,1
2023-01-04T02:00,dhaka,35.3,60.8,86.8,2914,858,208,46,10,2,1797,1044,2320,1429,1614,14.8,92.0,154,Unhealthy,1
2023-01-04T03:00,dhaka,34.0,58.7,84.1,2805,816,208,44,10,2,1782,1057,2291,1412,1619,16.7,86.0,153,Unhealthy,1
2023-01-04T04:00,dhaka,32.5,56.0,80.3,2669,787,195,41,10,2,1741,1049,2254,1400,1575,19.0,79.0,151,Unhealthy,1
2023-01-04T05:00,dhaka,29.9,51.5,74.0,2481,723,179,38,9,2,1664,1041,2180,1343,1550,21.0,69.0,140,Unhealthy for Sensitive Groups,1
2023-01-04T06:00,dhaka,26.7,46.0,66.4,2197,636,158,34,8,1,1595,1031,2067,1314,1487,22.3,60.0,127,Unhealthy for Sensitive Groups,1
2023-01-04T07:00,dhaka,23.9,41.2,59.8,1976,574,144,30,7,1,1570,997,2029,1257,1442,23.1,56.0,115,Unhealthy for Sensitive Groups,1
2023-01-04T08:00,dhaka,22.7,39.2,57.0,1886,540,135,29,7,1,1536,982,1996,1245,1418,23.4,55.0,110,Unhealthy for Sensitive Groups,1
2023-01-04T09:00,dhaka,22.1,38.1,55.3,1817,534,131,28,6,1,1512,983,1995,1247,1428,23.3,55.0,107,Unhealthy for Sensitive Groups,1
2023-01-04T10:00,dhaka,21.6,37.3,54.1,1815,527,127,27,6,1,1535,974,2015,1266,1427,22.8,57.0,105,Unhealthy for Sensitive Groups,1
2023-01-04T11:00,dhaka,24.6,42.4,61.2,2023,590,146,31,7,1,1597,990,2114,1342,1507,20.5,69.0,118,Unhealthy for Sensitive Groups,1
2023-01-04T12:00,dhaka,30.6,52.7,75.7,2536,738,183,39,9,2,1690,1037,2239,1421,1567,17.8,78.0,143,Unhealthy for Sensitive Groups,1
2023-01-04T13:00,dhaka,32.6,56.2,80.8,2687,786,199,41,10,2,1753,1057,2253,1447,1597,16.7,84.0,151,Unhealthy,1
2023-01-04T14:00,dhaka,33.0,56.9,81.7,2740,788,198,42,10,2,1755,1060,2291,1431,1607,15.4,89.0,152,Unhealthy,1
2023-01-04T15:00,dhaka,32.7,56.3,80.8,2711,790,198,42,10,2,1766,1052,2278,1439,1608,15.4,89.0,151,Unhealthy,1
2023-01-04T16:00,dhaka,31.7,54.7,78.5,2629,759,189,41,9,2,1740,1049,2270,1419,1598,15.5,89.0,148,Unhealthy for Sensitive Groups,1
2023-01-04T17:00,dhaka,30.7,53.0,75.9,2536,742,184,39,9,2,1706,1035,2222,1411,1556,15.2,91.0,144,Unhealthy for Sensitive Groups,1
2023-01-04T18:00,dhaka,30.4,52.4,75.2,2512,731,185,39,9,2,1695,1015,2196,1390,1548,14.9,92.0,143,Unhealthy for Sensitive Groups,1
2023-01-04T19:00,dhaka,31.2,53.8,77.1,2598,750,190,41,9,2,1686,1028,2215,1391,1547,14.6,92.0,146,Unhealthy for Sensitive Groups,1
2023-01-04T20:00,dhaka,32.7,56.3,80.8,2696,786,195,41,10,2,1696,1035,2217,1379,1583,14.2,92.0,151,Unhealthy,1
2023-01-04T21:00,dhaka,34.5,59.4,85.0,2836,836,207,44,10,2,1737,1045,2252,1382,1594,13.6,92.0,153,Unhealthy,1
2023-01-04T22:00,dhaka,35.8,61.7,88.2,2965,876,214,46,11,2,1744,1059,2265,1402,1620,13.2,93.0,154,Unhealthy,1
2023-01-04T23:00,dhaka,36.7,63.3,90.6,3029,882,222,47,11,2,1772,1073,2275,1417,1637,12.8,93.0,155,Unhealthy,1
2023-01-05T00:00,dhaka,33.1,57.0,81.5,2726,796,199,42,10,2,1722,1062,2227,1363,1561,12.3,95.0,152,Unhealthy,1
2023-01-05T01:00,dhaka,34.0,58.7,83.8,2806,821,208,43,10,2,1738,1052,2271,1409,1586,12.3,95.0,153,Unhealthy,1
2023-01-05T02:00,dhaka,34.9,60.1,85.9,2877,846,211,45,10,2,1763,1054,2293,1413,1617,13.7,91.0,153,Unhealthy,1
2023-01-05T03:00,dhaka,33.9,58.4,83.8,2810,822,206,44,10,2,1755,1052,2278,1410,1592,15.5,85.0,152,Unhealthy,1
2023-01-05T04:00,dhaka,30.9,53.2,76.4,2559,742,186,40,9,2,1700,1040,2194,1368,1564,17.7,79.0,145,Unhealthy for Sensitive Groups,1
2023-01-05T05:00,dhaka,26.7,46.0,66.1,2240,642,161,34,8,1,1639,1021,2118,1313,1497,19.7,72.0,127,Unhealthy for Sensitive Groups,1
2023-01-05T06:00,dhaka,23.7,40.9,58.9,1956,573,144,30,7,1,1565,1004,2050,1251,1441,21.2,68.0,114,Unhealthy for Sensitive Groups,1
2023-01-05T07:00,dhaka,21.9,37.7,54.6,1815,535,131,28,6,1,1548,981,1964,1243,1412,22.3,64.0,106,Unhealthy for Sensitive Groups,1
2023-01-05T08:00,dhaka,20.6,35.5,51.7,1688,500,124,26,6,1,1492,981,1966,1220,1416,22.8,62.0,101,Unhealthy for Sensitive Groups,1
2023-01-05T09:00,dhaka,19.7,33.9,49.4,1611,466,117,25,6,1,1494,955,1946,1207,1401,22.7,61.0,97,Moderate,0
2023-01-05T10:00,dhaka,19.0,32.8,47.8,1573,464,115,24,5,1,1501,955,1956,1248,1389,22.0,63.0,95,Moderate,0
2023-01-05T11:00,dhaka,20.2,34.8,50.3,1681,486,123,25,6,1,1548,961,1979,1285,1407,20.2,71.0,99,Moderate,0
2023-01-05T12:00,dhaka,29.2,50.4,72.4,2431,702,175,37,9,2,1657,1002,2144,1410,1536,17.6,82.0,138,Unhealthy for Sensitive Groups,1
2023-01-05T13:00,dhaka,30.9,53.3,76.6,2564,741,186,39,9,2,1678,1044,2209,1415,1552,16.6,85.0,145,Unhealthy for Sensitive Groups,1
2023-01-05T14:00,dhaka,31.4,54.2,77.8,2604,748,189,40,9,2,1694,1033,2239,1424,1557,15.9,88.0,147,Unhealthy for Sensitive Groups,1
2023-01-05T15:00,dhaka,31.6,54.5,78.0,2624,769,192,40,9,2,1704,1041,2232,1419,1574,15.4,90.0,148,Unhealthy for Sensitive Groups,1
2023-01-05T16:00,dhaka,31.3,53.9,77.1,2602,751,190,40,9,2,1723,1027,2237,1398,1555,14.9,90.0,146,Unhealthy for Sensitive Groups,1
2023-01-05T17:00,dhaka,30.2,52.0,74.5,2488,726,182,39,9,2,1675,1024,2213,1388,1548,14.6,91.0,142,Unhealthy for Sensitive Groups,1
2023-01-05T18:00,dhaka,28.8,49.6,71.0,2381,695,174,36,8,1,1651,1001,2156,1348,1516,14.2,91.0,136,Unhealthy for Sensitive Groups,1
2023-01-05T19:00,dhaka,27.6,47.6,68.2,2308,660,164,35,8,1,1644,1019,2120,1331,1504,13.8,92.0,131,Unhealthy for Sensitive Groups,1
2023-01-05T20:00,dhaka,26.7,46.0,65.9,2205,648,161,33,8,1,1632,1010,2097,1308,1496,13.4,92.0,127,Unhealthy for Sensitive Groups,1
2023-01-05T21:00,dhaka,25.9,44.6,63.8,2144,621,155,33,8,1,1615,998,2083,1296,1451,13.0,93.0,123,Unhealthy for Sensitive Groups,1
2023-01-05T22:00,dhaka,25.2,43.4,62.2,2100,598,151,32,7,1,1580,998,2069,1284,1470,12.7,93.0,120,Unhealthy for Sensitive Groups,1
2023-01-05T23:00,dhaka,24.8,42.8,61.5,2061,599,147,32,7,1,1584,974,2064,1292,1475,12.4,93.0,119,Unhealthy for Sensitive Groups,1
2023-01-06T00:00,dhaka,24.2,41.7,59.6,1996,582,145,32,7,1,1587,985,2076,1278,1459,12.1,95.0,116,Unhealthy for Sensitive Groups,1
2023-01-06T01:00,dhaka,25.1,43.3,62.2,2075,605,151,32,7,1,1603,993,2088,1291,1457,12.0,95.0,120,Unhealthy for Sensitive Groups,1
2023-01-06T02:00,dhaka,26.2,45.1,64.5,2178,633,159,32,8,1,1647,994,2133,1298,1502,13.1,91.0,125,Unhealthy for Sensitive Groups,1
2023-01-06T03:00,dhaka,26.3,45.4,65.2,2163,632,161,33,8,1,1637,1004,2137,1315,1505,14.8,86.0,125,Unhealthy for Sensitive Groups,1
2023-01-06T04:00,dhaka,25.8,44.5,64.0,2172,622,156,33,8,1,1632,1006,2120,1293,1507,16.8,80.0,123,Unhealthy for Sensitive Groups,1
2023-01-06T05:00,dhaka,24.6,42.4,61.0,2018,595,147,31,7,1,1595,995,2079,1297,1473,18.9,74.0,118,Unhealthy for Sensitive Groups,1
2023-01-06T06:00,dhaka,22.0,38.0,54.8,1820,536,134,28,6,1,1549,984,2006,1258,1426,20.6,69.0,107,Unhealthy for Sensitive Groups,1
2023-01-06T07:00,dhaka,19.0,32.8,47.5,1576,458,114,24,5,1,1478,969,1935,1200,1364,21.8,66.0,95,Moderate,0
2023-01-06T08:00,dhaka,17.2,29.6,42.8,1411,407,106,22,5,1,1453,960,1915,1183,1333,22.5,63.0,88,Moderate,0
2023-01-06T09:00,dhaka,15.9,27.4,39.7,1349,376,93,20,4,1,1466,941,1887,1184,1351,22.8,62.0,83,Moderate,0
2023-01-06T10:00,dhaka,15.3,26.4,38.3,1278,371,92,19,4,1,1440,925,1869,1196,1334,22.4,64.0,81,Moderate,0
2023-01-06T11:00,dhaka,17.6,30.3,43.5,1437,425,108,23,5,1,1483,937,1970,1245,1384,20.3,75.0,89,Moderate,0
2023-01-06T12:00,dhaka,29.6,51.0,73.3,2456,709,178,37,9,2,1682,1032,2180,1416,1547,17.5,85.0,139,Unhealthy for Sensitive Groups,1
2023-01-06T13:00,dhaka,29.6,51.1,73.6,2461,716,180,38,9,2,1684,1029,2207,1409,1548,16.7,87.0,139,Unhealthy for Sensitive Groups,1
2023-01-06T14:00,dhaka,29.2,50.4,72.4,2408,702,174,38,9,2,1671,1017,2185,1407,1540,16.1,88.0,138,Unhealthy for Sensitive Groups,1
2023-01-06T15:00,dhaka,28.9,49.8,71.5,2409,693,174,37,8,1,1698,1008,2188,1392,1541,15.4,90.0,136,Unhealthy for Sensitive Groups,1
2023-01-06T16:00,dhaka,28.7,49.5,71.0,2373,692,173,37,8,1,1679,1033,2168,1365,1531,14.9,90.0,135,Unhealthy for Sensitive Groups,1
2023-01-06T17:00,dhaka,28.4,49.0,70.3,2390,681,173,37,8,1,1654,1017,2181,1365,1522,14.4,91.0,134,Unhealthy for Sensitive Groups,1
2023-01-06T18:00,dhaka,28.1,48.4,69.4,2314,672,168,35,8,1,1648,1004,2148,1340,1519,14.1,92.0,133,Unhealthy for Sensitive Groups,1
2023-01-06T19:00,dhaka,27.8,48.0,68.7,2316,662,168,36,8,1,1629,1021,2141,1335,1510,13.7,92.0,132,Unhealthy for Sensitive Groups,1
2023-01-06T20:00,dhaka,27.7,47.7,68.2,2297,668,167,35,8,1,1638,995,2128,1320,1499,13.3,93.0,131,Unhealthy for Sensitive Groups,1
2023-01-06T21:00,dhaka,27.6,47.6,68.2,2303,671,167,35,8,1,1631,1015,2128,1337,1509,12.9,93.0,131,Unhealthy for Sensitive Groups,1
2023-01-06T22:00,dhaka,27.7,47.7,68.2,2292,666,167,35,8,1,1643,1014,2120,1302,1488,12.5,94.0,131,Unhealthy for Sensitive Groups,1
2023-01-06T23:00,dhaka,27.7,47.7,68.2,2297,662,163,35,8,1,1664,1007,2143,1315,1507,12.2,94.0,131,Unhealthy for Sensitive Groups,1
2023-01-07T00:00,dhaka,28.2,48.7,69.4,2351,680,170,36,8,1,1645,1021,2148,1324,1524,11.1,96.0,134,Unhealthy for Sensitive Groups,1
2023-01-07T01:00,dhaka,29.8,51.3,73.3,2448,718,179,38,9,2,1688,1022,2202,1363,1550,10.8,96.0,140,Unhealthy for Sensitive Groups,1
2023-01-07T02:00,dhaka,30.7,53.0,75.7,2544,735,183,39,9,2,1705,1026,2231,1372,1565,12.2,94.0,144,Unhealthy for Sensitive Groups,1
2023-01-07T03:00,dhaka,30.9,53.2,76.1,2560,745,183,39,9,2,1720,1020,2252,1385,1586,14.1,90.0,145,Unhealthy for Sensitive Groups,1
2023-01-07T04:00,dhaka,30.3,52.3,75.0,2507,739,183,39,9,2,1696,1032,2214,1361,1561,16.5,83.0,142,Unhealthy for Sensitive Groups,1
2023-01-07T05:00,dhaka,27.3,47.0,67.5,2256,660,166,35,8,1,1624,1005,2147,1305,1505,18.7,76.0,129,Unhealthy for Sensitive Groups,1
2023-01-07T06:00,dhaka,23.3,40.2,57.9,1912,553,141,30,7,1,1555,988,2026,1268,1429,20.6,70.0,113,Unhealthy for Sensitive Groups,1
2023-01-07T07:00,dhaka,20.8,35.9,51.6,1725,502,126,26,6,1,1508,1000,1974,1232,1397,21.9,66.0,102,Unhealthy for Sensitive Groups,1
2023-01-07T08:00,dhaka,19.4,33.4,48.1,1596,463,116,25,6,1,1478,961,1960,1210,1379,22.7,64.0,96,Moderate,0
2023-01-07T09:00,dhaka,18.4,31.7,45.5,1537,440,113,24,5,1,1475,976,1921,1214,1377,23.0,64.0,92,Moderate,0
2023-01-07T10:00,dhaka,17.6,30.4,43.7,1478,433,106,22,5,1,1487,946,1958,1226,1371,22.7,65.0,89,Moderate,0
2023-01-07T11:00,dhaka,19.0,32.7,46.9,1572,451,112,25,5,1,1514,951,1993,1285,1412,20.8,76.0,94,Moderate,0
2023-01-07T12:00,dhaka,28.7,49.4,70.8,2386,687,170,37,8,1,1678,1025,2208,1413,1545,18.0,88.0,135,Unhealthy for Sensitive Groups,1
2023-01-07T13:00,dhaka,30.3,52.2,74.7,2538,727,184,39,9,2,1712,1049,2234,1428,1574,17.1,91.0,142,Unhealthy for Sensitive Groups,1
2023-01-07T14:00,dhaka,29.9,51.5,73.8,2466,716,178,37,9,2,1732,1022,2230,1414,1567,16.5,91.0,140,Unhealthy for Sensitive Groups,1
2023-01-07T15:00,dhaka,29.6,51.1,73.3,2465,719,177,38,9,2,1716,1024,2256,1414,1572,16.0,91.0,139,Unhealthy for Sensitive Groups,1
2023-01-07T16:00,dhaka,30.0,51.7,74.0,2491,729,181,38,9,2,1718,1023,2230,1415,1579,15.4,92.0,141,Unhealthy for Sensitive Groups,1
2023-01-07T17:00,dhaka,30.1,51.9,74.5,2491,728,184,39,9,2,1734,1032,2206,1414,1566,14.9,93.0,141,Unhealthy for Sensitive Groups,1
2023-01-07T18:00,dhaka,29.3,50.5,72.4,2443,710,176,37,9,2,1684,1015,2190,1395,1562,14.3,94.0,138,Unhealthy for Sensitive Groups,1
2023-01-07T19:00,dhaka,28.5,49.1,70.5,2362,681,172,37,8,1,1662,1014,2174,1362,1537,14.4,94.0,134,Unhealthy for Sensitive Groups,1
2023-01-07T20:00,dhaka,28.0,48.3,69.2,2316,678,167,36,8,1,1663,1008,2178,1346,1523,14.4,94.0,133,Unhealthy for Sensitive Groups,1
2023-01-07T21:00,dhaka,28.0,48.2,68.9,2327,667,166,35,8,1,1663,1006,2180,1329,1519,14.1,95.0,132,Unhealthy for Sensitive Groups,1
2023-01-07T22:00,dhaka,28.0,48.3,69.2,2341,686,172,36,8,1,1662,1017,2160,1326,1510,13.8,95.0,133,Unhealthy for Sensitive Groups,1
2023-01-07T23:00,dhaka,28.5,49.1,70.1,2356,686,171,37,8,1,1670,1018,2181,1327,1523,13.4,95.0,134,Unhealthy for Sensitive Groups,1
2023-01-08T00:00,dhaka,29.9,51.6,73.8,2466,713,180,38,9,2,1706,1033,2191,1373,1562,12.6,96.0,141,Unhealthy for Sensitive Groups,1
2023-01-08T01:00,dhaka,31.4,54.1,77.3,2605,756,187,40,9,2,1735,1050,2266,1371,1566,12.3,96.0,147,Unhealthy for Sensitive Groups,1
2023-01-08T02:00,dhaka,33.2,57.3,81.7,2752,793,201,42,10,2,1764,1032,2314,1396,1601,13.8,93.0,152,Unhealthy,1
2023-01-08T03:00,dhaka,34.2,58.9,84.1,2784,824,208,44,10,2,1789,1048,2346,1405,1635,15.5,88.0,153,Unhealthy,1
2023-01-08T04:00,dhaka,34.1,58.8,84.1,2833,829,205,44,10,2,1771,1057,2318,1412,1631,17.9,81.0,153,Unhealthy,1
